Flu Season,Location of Immunization,≥ 6 months,6 months - 17 years,6 months - 4 years,5 - 12 years,13 - 17 years,≥ 18 years,18 - 64 years,18 - 49 years,50 -64 years,≥ 65 years,Total Vaccinated,Code
2017-2018,Alabama,7547,2671,854,1224,593,4876,3030,1560,1470,1846,7547,AL
2017-2018,Alaska,3690,1752,564,719,469,1938,1311,718,593,627,3690,AK
2017-2018,Arizona,12285,2358,740,1120,498,9927,5985,3168,2817,3942,12285,AZ
2017-2018,Arkansas,6287,2129,647,925,557,4158,2031,909,1122,2127,6287,AR
2017-2018,California,10838,2355,809,950,596,8483,6643,4380,2263,1840,10838,CA
2017-2018,Colorado,7765,1828,610,780,438,5937,4008,2266,1742,1929,7765,CO
2017-2018,Connecticut,9648,2182,648,1102,432,7466,4631,2134,2497,2835,9648,CT
2017-2018,Delaware,6437,2282,684,1078,520,4155,2699,1419,1280,1456,6437,DE
2017-2018,District of Columbia,4122,2545,807,1033,705,1577,1109,686,423,468,4122,DC
2017-2018,Florida,13044,2888,912,1279,697,10156,6029,3254,2775,4127,13044,FL
2017-2018,Georgia,9328,2776,876,1292,608,6552,4399,2558,1841,2153,9328,GA
2017-2018,Hawaii,7481,1995,608,857,530,5486,3636,2074,1562,1850,7481,HI
2017-2018,Idaho,4391,1682,487,625,570,2709,1700,992,708,1009,4391,ID
2017-2018,Illinois,8472,4184,1259,1733,1192,4288,2839,1628,1211,1449,8472,IL
2017-2018,Indiana,9863,2007,648,905,454,7856,4806,2403,2403,3050,9863,IN
2017-2018,Iowa,7712,1364,458,548,358,6348,4267,2384,1883,2081,7712,IA
2017-2018,Kansas,13771,1471,440,589,442,12300,7934,4226,3708,4366,13771,KS
2017-2018,Kentucky,8375,1748,554,719,475,6627,4553,2438,2115,2074,8375,KY
2017-2018,Louisiana,4291,2267,736,985,546,2024,1491,846,645,533,4291,LA
2017-2018,Maine,9298,2219,664,1099,456,7079,4119,1892,2227,2960,9298,ME
2017-2018,Maryland,14178,3006,944,1272,790,11172,6495,2954,3541,4677,14178,MD
2017-2018,Massachusetts,7426,2034,664,906,464,5392,3478,1841,1637,1914,7426,MA
2017-2018,Michigan,7542,1836,595,767,474,5706,3769,2137,1632,1937,7542,MI
2017-2018,Minnesota,17022,1702,524,659,519,15320,10558,5819,4739,4762,17022,MN
2017-2018,Mississippi,6283,2958,932,1481,545,3325,2065,1070,995,1260,6283,MS
2017-2018,Missouri,5994,1790,558,704,528,4204,2509,1340,1169,1695,5994,MO
2017-2018,Montana,4892,1817,583,758,476,3075,1873,944,929,1202,4892,MT
2017-2018,Nebraska,13038,1495,500,562,433,11543,7351,4135,3216,4192,13038,NE
2017-2018,Nevada,4645,2178,661,907,610,2467,1498,831,667,969,4645,NV
2017-2018,New Hampshire,6233,1996,598,958,440,4237,2506,1107,1399,1731,6233,NH
2017-2018,New Jersey,9526,2938,955,1347,636,6588,4183,2041,2142,2405,9526,NJ
2017-2018,New Mexico,7400,2295,712,1146,437,5105,3271,1715,1556,1834,7400,NM
2017-2018,New York,22031,4200,1444,1693,1063,17831,12491,7076,5415,5340,22031,NY
2017-2018,North Carolina,5342,2411,766,1091,554,2931,2073,1263,810,858,5342,NC
2017-2018,North Dakota,4798,1698,569,667,462,3100,1919,962,957,1181,4798,ND
2017-2018,Ohio,12801,2236,740,928,568,10565,6387,3058,3329,4178,12801,OH
2017-2018,Oklahoma,6536,2357,772,1014,571,4179,2514,1342,1172,1665,6536,OK
2017-2018,Oregon,5197,1673,493,730,450,3524,2351,1358,993,1173,5197,OR
2017-2018,Pennsylvania,7117,4517,1454,1863,1200,2600,1886,1161,725,714,7117,PA
2017-2018,Rhode Island,6250,2133,628,1098,407,4117,2577,1222,1355,1540,6250,RI
2017-2018,South Carolina,10267,2451,751,1134,566,7816,4247,2051,2196,3569,10267,SC
2017-2018,South Dakota,8116,1643,519,683,441,6473,3921,1989,1932,2552,8116,SD
2017-2018,Tennessee,4963,1787,590,726,471,3176,2153,1220,933,1023,4963,TN
2017-2018,Texas,18715,10516,3588,3245,3683,8199,5350,3182,2168,2849,18715,TX
2017-2018,Utah,9382,1755,565,696,494,7627,5728,3940,1788,1899,9382,UT
2017-2018,Vermont,6936,1997,585,1031,381,4939,3086,1483,1603,1853,6936,VT
2017-2018,Virginia,9944,2623,862,1088,673,7321,4658,2416,2242,2663,9944,VA
2017-2018,Washington,10814,1972,664,807,501,8842,5583,3122,2461,3259,10814,WA
2017-2018,West Virginia,6542,2508,785,1160,563,4034,2510,1219,1291,1524,6542,WV
2017-2018,Wisconsin,6323,2032,637,868,527,4291,2807,1506,1301,1484,6323,WI
2017-2018,Wyoming,5306,1804,558,776,470,3502,2138,1047,1091,1364,5306,WY
